Order_ID,Order_Preparation_Time (min),Delivery_Distance (km),Order_Size (items),Time_of_Day,Traffic_Condition,Weather,Delivery_Time (min)
1,17.5,7.8,6,Morning,High,Clear,53.0
2,14.3,6.85,7,Evening,Medium,Cloudy,58.3
3,18.2,5.12,6,Evening,High,Clear,50.4
4,22.6,3.71,3,Night,Medium,Cloudy,43.7
5,13.8,6.4,3,Night,Medium,Rainy,47.6
6,13.8,5.79,3,Evening,Jam,Rainy,52.1
7,22.9,6.79,6,Night,Low,Cloudy,49.7
8,18.8,6.27,4,Evening,Low,Clear,45.2
9,12.7,7.1,5,Morning,Medium,Rainy,45.6
10,17.7,3.93,5,Morning,Medium,Clear,44.5
11,12.7,7.63,2,Afternoon,Medium,Rainy,49.7
12,12.7,5.4,5,Morning,High,Clear,44.7
13,16.2,9.15,5,Evening,Medium,Clear,54.1
14,5.4,3.62,3,Night,Medium,Cloudy,26.5
15,6.4,8.47,3,Afternoon,Low,Clear,38.1
16,12.2,5.4,6,Night,Medium,Clear,42.3
17,9.9,3.7,2,Evening,Low,Clear,26.3
18,16.6,4.03,1,Morning,Low,Clear,31.8
19,10.5,4.36,7,Afternoon,Medium,Clear,45.1
20,7.9,5.85,2,Evening,Low,Clear,25.7
21,22.3,6.05,2,Afternoon,Low,Clear,40.5
22,13.9,3.85,4,Afternoon,Low,Clear,33.6
23,15.3,4.95,6,Morning,Jam,Cloudy,54.6
24,7.9,9.28,4,Evening,Jam,Clear,47.3
25,12.3,8.46,2,Night,Medium,Rainy,50.3
26,15.6,5.87,2,Afternoon,Jam,Rainy,51.7
27,9.2,5.08,2,Afternoon,High,Clear,33.1
28,16.9,5.24,5,Night,Medium,Cloudy,51.9
29,12.0,6.23,7,Evening,Low,Rainy,47.0
30,13.5,2.95,7,Afternoon,High,Stormy,45.5
31,12.0,4.49,4,Afternoon,High,Cloudy,46.9
32,24.3,1.66,2,Afternoon,Medium,Clear,37.6
33,14.9,5.8,7,Evening,High,Cloudy,54.7
34,9.7,6.29,3,Evening,Medium,Cloudy,34.9
35,19.1,4.03,7,Night,High,Cloudy,58.8
36,8.9,8.15,6,Evening,Jam,Clear,58.7
37,16.0,2.55,6,Evening,Medium,Rainy,39.4
38,5.2,2.07,7,Morning,High,Stormy,41.1
39,8.4,5.45,3,Night,Medium,Clear,35.2
40,16.0,7.09,6,Afternoon,Medium,Clear,46.1
41,18.7,8.37,5,Evening,High,Clear,63.9
42,15.9,4.08,7,Afternoon,Low,Rainy,40.5
43,14.4,7.16,5,Afternoon,Medium,Cloudy,50.2
44,13.5,4.92,7,Morning,Low,Cloudy,35.6
45,7.6,4.65,1,Evening,Medium,Clear,24.2
46,11.4,6.77,1,Night,Medium,Cloudy,40.2
47,12.7,6.3,1,Evening,High,Clear,40.7
48,20.3,1.85,6,Afternoon,Low,Clear,35.5
49,16.7,7.95,5,Night,Medium,Cloudy,54.6
50,6.2,7.76,5,Evening,Low,Stormy,45.2
51,16.6,3.75,5,Afternoon,High,Rainy,49.7
52,13.1,5.79,3,Afternoon,Jam,Rainy,47.3
53,11.6,5.99,5,Morning,Jam,Clear,56.0
54,18.1,5.52,3,Morning,High,Clear,51.3
55,20.2,3.9,1,Morning,High,Cloudy,46.9
56,19.7,3.66,1,Afternoon,Low,Rainy,36.6
57,10.8,4.95,6,Evening,Medium,Clear,43.9
58,13.5,7.35,7,Morning,Medium,Clear,50.3
59,16.7,6.09,1,Evening,High,Clear,39.7
60,19.9,4.26,7,Morning,Jam,Cloudy,61.3
61,12.6,6.54,7,Night,Low,Clear,35.6
62,14.1,0.5,6,Night,Jam,Clear,39.5
63,9.5,7.3,2,Morning,Medium,Clear,34.7
64,9.0,1.52,2,Afternoon,Medium,Clear,23.1
65,19.1,4.28,4,Morning,Low,Rainy,41.6
66,21.8,2.76,6,Morning,Low,Clear,33.9
67,14.6,2.41,4,Afternoon,Medium,Cloudy,36.7
68,20.0,7.32,4,Night,Medium,Cloudy,48.9
69,16.8,4.06,2,Evening,Low,Rainy,34.9
70,11.8,5.69,6,Morning,Medium,Clear,36.0
71,16.8,4.91,2,Afternoon,High,Stormy,58.3
72,22.7,5.95,4,Morning,High,Cloudy,62.6
73,14.8,5.15,6,Afternoon,Jam,Stormy,58.1
74,22.8,2.43,4,Evening,Medium,Rainy,44.8
75,5.0,6.99,5,Evening,Medium,Clear,38.6
76,19.1,4.01,7,Night,High,Clear,51.0
77,15.4,1.89,6,Afternoon,Medium,Clear,37.8
78,13.5,4.14,6,Afternoon,Low,Cloudy,35.3
79,15.5,8.0,7,Night,Low,Clear,43.6
80,5.1,6.7,4,Night,Medium,Clear,38.4
81,13.9,4.3,5,Afternoon,Low,Clear,32.9
82,16.8,4.3,3,Night,Medium,Clear,43.0
83,22.4,4.36,7,Evening,Low,Clear,46.5
84,12.4,9.15,2,Morning,Low,Clear,36.6
85,11.0,5.76,4,Evening,Medium,Clear,31.8
86,12.5,5.86,7,Night,Medium,Clear,47.4
87,19.6,7.06,7,Afternoon,Medium,Clear,55.3
88,16.6,5.48,6,Afternoon,Low,Clear,31.2
89,12.4,4.48,2,Evening,Low,Rainy,35.5
90,17.6,4.61,2,Afternoon,Medium,Cloudy,40.3
91,15.5,4.86,2,Night,Medium,Clear,36.3
92,19.8,4.93,7,Evening,Medium,Clear,55.2
93,11.5,6.46,3,Afternoon,Medium,Rainy,39.7
94,13.4,5.1,1,Morning,Jam,Rainy,54.1
95,13.0,6.47,4,Morning,Medium,Rainy,42.0
96,7.7,4.84,1,Night,Medium,Cloudy,31.3
97,16.5,5.16,7,Afternoon,Medium,Clear,42.9
98,16.3,1.0,1,Night,Medium,Clear,25.5
99,15.0,6.83,7,Evening,Medium,Clear,48.8
100,13.8,5.69,1,Morning,Medium,Rainy,38.0
101,7.9,7.0,2,Evening,High,Cloudy,42.2
102,12.9,0.5,5,Afternoon,Low,Cloudy,20.0
103,13.3,9.18,2,Night,Low,Clear,36.1
104,11.0,4.72,2,Night,Medium,Rainy,39.9
105,14.2,7.22,6,Night,High,Clear,50.7
106,17.0,2.92,6,Evening,Low,Clear,34.5
107,24.4,6.23,1,Morning,Jam,Clear,60.1
108,15.9,2.89,7,Evening,Medium,Cloudy,44.5
109,16.3,3.75,2,Evening,Jam,Clear,42.8
110,14.6,8.83,1,Afternoon,Jam,Rainy,60.3
111,5.4,4.62,6,Afternoon,Medium,Clear,32.0
112,14.9,5.43,5,Afternoon,Low,Cloudy,44.1
113,15.3,6.74,4,Morning,Low,Cloudy,44.2
114,27.3,5.99,1,Morning,Low,Clear,47.1
115,14.0,5.3,5,Afternoon,High,Rainy,49.5
116,16.5,5.73,4,Afternoon,Low,Cloudy,37.5
117,14.8,9.81,3,Morning,Medium,Cloudy,46.2
118,9.2,4.88,1,Night,Medium,Rainy,30.7
119,20.7,5.4,1,Morning,Jam,Cloudy,53.6
120,18.8,7.1,3,Morning,Low,Clear,38.5
121,19.0,7.21,3,Morning,Low,Cloudy,43.1
122,10.5,7.37,1,Afternoon,Low,Clear,27.6
123,22.0,6.28,3,Night,Jam,Clear,52.1
124,8.0,2.71,2,Morning,Medium,Clear,22.6
125,17.9,8.27,4,Afternoon,Low,Cloudy,43.9
126,26.0,2.71,4,Evening,Low,Cloudy,38.6
127,10.0,5.61,4,Evening,Low,Clear,33.5
128,12.2,3.49,2,Morning,Low,Cloudy,25.5
129,15.5,4.87,7,Evening,Jam,Rainy,59.6
130,12.5,5.66,3,Night,High,Clear,43.0
131,7.2,5.64,5,Evening,Medium,Clear,33.6
132,15.3,5.84,3,Evening,High,Cloudy,44.5
133,9.7,8.23,1,Night,Low,Clear,35.0
134,17.4,5.91,6,Morning,High,Cloudy,59.1
135,10.4,4.51,4,Morning,High,Clear,39.5
136,22.7,6.93,3,Night,Medium,Clear,48.1
137,11.1,7.38,5,Night,High,Cloudy,54.3
138,13.4,2.54,1,Night,Low,Cloudy,23.2
139,19.1,6.19,2,Evening,Low,Rainy,42.0
140,8.8,6.4,7,Night,Low,Rainy,42.9
141,16.1,4.4,2,Afternoon,Medium,Cloudy,43.0
142,21.5,7.75,5,Evening,High,Cloudy,59.8
143,7.0,4.7,1,Morning,Jam,Clear,36.8
144,15.9,5.25,4,Morning,Medium,Cloudy,43.2
145,16.3,4.65,3,Morning,High,Clear,39.9
146,18.9,5.03,1,Evening,High,Rainy,50.3
147,8.8,2.81,7,Afternoon,Low,Clear,24.8
148,8.4,2.12,2,Night,Medium,Cloudy,24.4
149,17.6,8.19,7,Night,Low,Clear,53.6
150,16.5,3.31,7,Morning,Medium,Cloudy,50.1
151,16.3,3.02,5,Morning,Jam,Rainy,50.4
152,16.7,0.69,5,Evening,Low,Clear,25.6
153,11.6,3.72,3,Afternoon,High,Rainy,41.4
154,16.2,2.35,5,Night,Medium,Clear,37.1
155,16.5,8.28,5,Evening,Medium,Cloudy,49.0
156,11.4,7.02,1,Night,Medium,Rainy,36.4
157,24.3,3.62,4,Morning,Medium,Clear,42.8
158,17.4,9.5,3,Night,Low,Stormy,58.2
159,9.0,6.96,1,Afternoon,Low,Clear,27.9
160,18.3,4.35,4,Afternoon,Low,Clear,39.5
161,10.1,0.5,7,Morning,Medium,Rainy,33.8
162,18.9,9.58,1,Afternoon,Low,Clear,44.5
163,20.8,2.22,6,Afternoon,High,Stormy,50.4
164,10.9,1.71,1,Evening,Medium,Stormy,30.6
165,19.8,7.05,5,Night,Medium,Clear,58.5
166,17.1,9.88,4,Morning,Medium,Cloudy,65.2
167,19.1,7.77,3,Morning,Medium,Clear,58.3
168,24.5,6.13,3,Morning,Jam,Clear,66.4
169,13.8,6.19,4,Morning,Low,Clear,33.9
170,11.2,6.71,5,Morning,Low,Clear,29.8
171,10.6,6.52,2,Afternoon,High,Clear,43.4
172,10.9,5.56,1,Evening,Low,Clear,33.8
173,14.6,5.21,5,Morning,Low,Stormy,46.4
174,16.7,4.87,6,Evening,Medium,Rainy,47.3
175,16.4,3.49,7,Evening,Low,Cloudy,40.4
176,19.1,4.44,4,Afternoon,Medium,Cloudy,40.1
177,15.1,1.61,1,Morning,Low,Rainy,25.7
178,22.3,4.8,3,Afternoon,High,Clear,50.5
179,13.7,3.02,7,Morning,High,Cloudy,37.8
180,28.6,2.79,2,Afternoon,Medium,Stormy,52.7
181,18.1,5.36,6,Evening,Medium,Clear,47.4
182,10.7,7.78,3,Morning,High,Cloudy,50.7
183,9.6,6.84,4,Night,Low,Rainy,49.8
184,17.4,1.86,1,Evening,High,Rainy,38.2
185,13.9,3.02,4,Night,High,Cloudy,35.2
186,18.6,6.88,7,Evening,High,Clear,57.0
187,17.4,3.04,1,Afternoon,Medium,Clear,33.0
188,14.6,4.55,5,Morning,Low,Clear,32.8
189,10.8,6.1,2,Evening,Medium,Cloudy,41.6
190,7.4,3.06,5,Afternoon,High,Clear,31.3
191,12.8,5.21,5,Morning,Low,Rainy,39.3
192,19.3,2.33,4,Morning,High,Clear,41.3
193,16.1,3.8,7,Evening,Low,Clear,40.3
194,8.8,5.64,2,Morning,Low,Clear,28.3
195,15.9,1.81,1,Evening,Low,Cloudy,24.7
196,16.9,5.88,1,Morning,Low,Clear,37.8
197,10.6,4.96,6,Night,Medium,Clear,38.4
198,15.8,6.1,3,Afternoon,Low,Clear,31.4
199,15.3,5.45,6,Night,Jam,Clear,50.8
200,9.3,7.73,6,Evening,Medium,Clear,40.3
201,16.8,5.25,1,Night,Low,Rainy,35.1
202,17.8,4.14,4,Evening,Medium,Cloudy,40.9
203,20.4,5.24,5,Morning,High,Clear,55.0
204,20.3,6.09,7,Morning,High,Rainy,70.4
205,8.1,5.1,5,Evening,Low,Stormy,37.8
206,10.3,5.08,5,Night,High,Cloudy,44.1
207,17.6,3.6,2,Morning,High,Cloudy,43.7
208,17.6,3.67,1,Afternoon,Low,Rainy,32.3
209,17.6,2.19,7,Morning,Low,Stormy,46.2
210,34.3,8.5,4,Afternoon,Medium,Cloudy,81.5
211,17.9,2.51,2,Night,Low,Clear,26.4
212,20.7,3.61,3,Afternoon,High,Cloudy,47.1
213,19.8,3.56,4,Afternoon,Medium,Cloudy,42.6
214,18.3,6.79,6,Afternoon,Jam,Clear,52.7
215,13.4,4.41,4,Afternoon,Medium,Clear,40.1
216,18.8,7.5,4,Morning,Low,Rainy,47.0
217,11.1,3.65,5,Afternoon,Low,Cloudy,29.5
218,13.8,5.56,4,Morning,Medium,Clear,41.3
219,12.6,3.33,6,Afternoon,High,Cloudy,42.9
220,15.4,9.29,6,Evening,High,Clear,61.8
221,26.6,2.62,1,Night,Low,Clear,34.9
222,5.7,5.62,4,Afternoon,Low,Cloudy,33.3
223,18.4,6.27,5,Evening,Low,Clear,44.4
224,6.9,5.83,4,Afternoon,Medium,Clear,37.9
225,12.6,4.63,3,Afternoon,Low,Stormy,37.0
226,20.4,4.74,3,Afternoon,Medium,Clear,47.6
227,15.3,5.09,5,Evening,Medium,Clear,39.0
228,9.6,4.71,1,Night,Jam,Stormy,51.5
229,11.4,6.93,1,Evening,Medium,Cloudy,34.3
230,18.4,9.42,6,Night,Low,Cloudy,59.0
231,11.3,3.89,6,Afternoon,Medium,Rainy,37.2
232,16.1,2.26,2,Morning,Medium,Clear,31.2
233,15.2,4.82,5,Afternoon,Medium,Cloudy,40.0
234,11.7,10.16,4,Night,Jam,Cloudy,57.6
235,25.7,3.39,7,Evening,High,Rainy,59.4
236,18.2,8.28,5,Afternoon,Low,Cloudy,60.3
237,5.0,8.36,2,Evening,Low,Cloudy,42.1
238,15.9,3.89,6,Evening,Medium,Clear,36.7
239,11.7,6.14,5,Evening,High,Clear,50.5
240,19.3,8.26,5,Afternoon,Low,Cloudy,55.8
241,11.0,4.24,6,Evening,Medium,Cloudy,33.4
242,14.4,4.59,2,Evening,Medium,Cloudy,33.3
243,17.5,3.84,6,Afternoon,Low,Clear,40.1
244,19.3,2.97,1,Evening,Medium,Cloudy,39.8
245,9.0,3.7,4,Afternoon,Jam,Cloudy,43.9
246,13.3,2.55,6,Night,Low,Rainy,32.0
247,12.6,5.07,2,Night,Medium,Cloudy,36.7
248,11.7,3.46,3,Night,Medium,Rainy,35.4
249,23.8,5.47,1,Evening,High,Rainy,59.7
250,17.0,1.89,3,Morning,Jam,Cloudy,43.2
251,8.7,5.66,7,Morning,Medium,Cloudy,34.3
252,19.6,6.67,6,Evening,High,Rainy,69.1
253,25.6,1.01,1,Morning,Medium,Cloudy,36.1
254,20.2,5.75,4,Afternoon,Medium,Rainy,56.8
255,7.4,7.46,6,Morning,Low,Cloudy,34.4
256,12.6,2.58,4,Evening,Low,Cloudy,24.3
257,21.3,8.35,5,Evening,Low,Clear,49.6
258,11.5,5.84,3,Afternoon,Medium,Clear,38.1
259,17.2,3.59,1,Night,Low,Stormy,35.9
260,18.9,4.89,4,Evening,Jam,Cloudy,55.3
261,10.4,6.12,2,Afternoon,Low,Cloudy,33.8
262,14.7,5.15,4,Morning,Low,Rainy,42.5
263,5.0,6.08,2,Morning,Medium,Cloudy,26.1
264,9.9,3.16,6,Afternoon,High,Cloudy,39.0
265,13.7,5.34,1,Afternoon,Low,Cloudy,28.5
266,8.8,2.17,4,Evening,Medium,Cloudy,25.4
267,23.2,4.78,7,Morning,Jam,Clear,51.9
268,7.8,3.19,4,Afternoon,Low,Clear,22.4
269,12.8,3.53,7,Morning,Medium,Clear,38.9
270,15.7,7.47,1,Afternoon,High,Clear,50.0
271,22.2,7.18,4,Morning,Low,Cloudy,46.9
272,7.8,6.22,2,Night,Medium,Clear,30.7
273,20.8,2.82,4,Evening,Medium,Clear,35.7
274,15.1,4.37,3,Morning,Medium,Clear,41.7
275,10.1,7.43,6,Night,Low,Clear,45.7
276,17.3,5.28,5,Morning,Low,Cloudy,37.3
277,16.0,9.64,2,Morning,Medium,Rainy,59.3
278,12.0,5.79,3,Night,Low,Cloudy,37.6
279,15.3,5.38,7,Morning,High,Clear,55.0
280,13.1,4.38,6,Morning,Medium,Clear,37.4
281,15.6,5.27,1,Evening,Medium,Clear,34.7
282,18.3,4.7,2,Night,High,Cloudy,43.4
283,22.9,6.42,5,Night,Medium,Clear,54.8
284,8.8,6.91,6,Afternoon,Low,Cloudy,41.2
285,25.7,3.43,7,Morning,Jam,Clear,60.0
286,5.2,2.34,5,Evening,Low,Rainy,25.4
287,14.2,1.33,1,Morning,Low,Clear,20.1
288,17.9,6.02,1,Morning,High,Clear,52.5
289,16.4,2.79,7,Afternoon,Medium,Rainy,44.6
290,11.9,0.69,2,Morning,Medium,Clear,21.8
291,14.0,5.78,7,Evening,Low,Clear,47.8
292,12.5,9.99,4,Evening,Medium,Cloudy,52.8
293,12.1,4.99,1,Afternoon,Low,Cloudy,26.8
294,19.2,6.68,6,Morning,Jam,Cloudy,63.8
295,16.8,5.16,4,Evening,Low,Clear,31.9
296,11.5,4.8,3,Morning,High,Clear,41.2
297,19.5,6.84,5,Morning,Medium,Clear,52.9
298,16.5,4.42,4,Morning,High,Clear,45.9
299,19.1,5.53,5,Afternoon,High,Rainy,64.9
300,18.1,5.64,7,Morning,Medium,Cloudy,48.1
301,10.9,3.66,4,Evening,Medium,Clear,30.3
302,12.2,6.98,7,Morning,Low,Cloudy,40.0
303,18.7,4.65,3,Evening,Low,Clear,40.5
